id,city,district,ward,street,area,price,house_direction,bedroom,toilet,floors,legits,upload_date,furniture,facade,entrance
2567389,Hà Nội,Cầu Giấy,,Nam Trung Yên,110.0,31000.0,,7.0,,,Sổ đỏ, 11/10/2023,,,
2567352,Hà Nội,Nam Từ Liêm,,,31.0,5950.0,,,1.0,,Sổ hồng, 11/10/2023,,,
2567348,Hà Nội,Cầu Giấy,,Nghĩa Đô,90.0,28000.0,,,1.0,,Sổ đỏ, 11/10/2023,,,
2567310,Hà Nội,Thanh Xuân,,Vũ Tông Phan,145.0,80000.0,,,,,Sổ đỏ, 11/10/2023,,,
2567242,Hà Nội,,,,76.0,4600.0,ES,,1.0,,Sổ hồng, 11/10/2023,,,
2567222,Hà Nội,Sóc Sơn,,Quốc lộ 3,100.0,1390.0,,,,,Sổ hồng, 11/10/2023,,,
2317763,Hà Nội,Thanh Xuân,,Nguyễn Ngọc Nại,165.0,60000.0,,,,,Sổ đỏ, 11/10/2023,,,
2567250,Hà Nội,Đống Đa,,Trung Liệt,267.0,120000.0,,,,,Sổ đỏ, 11/10/2023,,,
2567164,Hà Nội,Bắc Từ Liêm,,Nhật Tảo,110.0,2100.0,,3.0,,1.0,Sổ đỏ, 11/10/2023,,,
2567247,Hà Nội,Cầu Giấy,,Tú Mỡ,96.0,4700.0,,,,,Sổ đỏ, 11/10/2023,,,
2567286,Hà Nội,Cầu Giấy,,Tú Mỡ,96.0,4700.0,,,,,Sổ đỏ, 11/10/2023,,,
2567027,Hà Nội,,,,75.0,13000.0,ES,,,,Sổ đỏ, 11/10/2023,,,
2567307,Hà Nội,,,,63.6,2250.0,WS,,1.0,,Sổ hồng, 11/10/2023,,,
2567015,Hà Nội,,,,68.0,3000.0,,,1.0,,Sổ hồng, 11/10/2023,,,
2566922,Hà Nội,,,,85.0,3540.0,WS,,1.0,,Sổ đỏ, 11/10/2023,,,
1573805,Hà Nội,,,,110.5,3635.0,ES,3.0,1.0,20.0,Sổ hồng, 11/10/2023,,,
1722737,Hà Nội,,,,66.5,2100.0,ES,3.0,1.0,16.0,Sổ hồng, 11/10/2023,đầy đủ,,
1752389,Hà Nội,,,,97.0,1800.0,,3.0,1.0,15.0,, 11/10/2023,full,,
1887960,Hà Nội,,,,98.5,3500.0,ES,3.0,1.0,20.0,Sổ hồng, 11/10/2023,full cao cấp,,
2402987,Hà Nội,,,,107.5,22500.0,ES,,1.0,,Sổ đỏ, 11/10/2023,,,
2422093,Hà Nội,Nam Từ Liêm,,Phạm Hùng,115.5,5850.0,ES,,1.0,,Sổ hồng, 11/10/2023,,,
1223187,Hà Nội,,,,186.0,9030.0,EN,4.0,1.0,38.0,Sổ hồng, 11/10/2023,Có,,
1558898,Hà Nội,,,,401.0,87500.0,,4.0,1.0,4.0,Sổ đỏ, 11/10/2023,Có,12.0,18.0
2566702,Hà Nội,Bắc Từ Liêm,,Trần Cung,42.0,3700.0,,,,,Sổ đỏ, 11/10/2023,,,
2566691,Hà Nội,Cầu Giấy,,,30.0,7200.0,,,,,Sổ đỏ, 11/10/2023,,,
2566685,Hà Nội,,,,111.0,5750.0,EN,,1.0,,Sổ đỏ, 11/10/2023,,,
2566580,Hà Nội,Bắc Từ Liêm,,Phạm Văn Đồng,33.0,3100.0,,2.0,,2.0,Sổ đỏ, 11/10/2023,,,
2546213,Hà Nội,Hai Bà Trưng,,Hoàng Mai,27.0,2760.0,,3.0,,5.0,Sổ đỏ, 30/09/2023,True,45.0,3.0
2567033,Hà Nội,Đan Phượng,,32,71.5,2125.0,,,,,, 11/10/2023,,,
2565975,Hà Nội,Đống Đa,,Nguyễn Lương Bằng,45.0,5000.0,,,1.0,,, 10/10/2023,,,
2565803,Hà Nội,,,,63.0,1800.0,EN,,,,Sổ hồng, 10/10/2023,,,
2335968,Hà Nội,Đống Đa,,Tây Sơn,182.0,89950.0,ES,,1.0,,Sổ đỏ, 10/10/2023,,,
2347174,Hà Nội,Đống Đa,,Trung Liệt,110.0,35750.0,,,1.0,,Sổ đỏ, 10/10/2023,,,
2565526,Hà Nội,Tây Hồ,,Tứ Liên,138.0,14900.0,ES,,,,Sổ đỏ, 10/10/2023,,,
2565432,Hà Nội,Cầu Giấy,Trung Hòa,,293.0,21000.0,,,,,, 10/10/2023,,,
1818477,Hà Nội,,,,170.0,8500.0,EN,4.0,,,Sổ hồng, 10/10/2023,Bàn giao nội thất cơ bản liền tường,,
2565306,Hà Nội,,,,67.0,2800.0,WS,,,,, 10/10/2023,,,
2565247,Hà Nội,Cầu Giấy,,Hoàng Quốc Việt,46.0,10500.0,,,1.0,,Sổ đỏ, 10/10/2023,,,
2565239,Hà Nội,Cầu Giấy,,Yên Hòa,50.0,9000.0,,,,,Sổ đỏ, 10/10/2023,,,
2523847,Hà Nội,,,,98.5,3800.0,ES,,1.0,,, 10/10/2023,,,
2565202,Hà Nội,,,,63.6,2200.0,,,1.0,,Sổ hồng, 10/10/2023,,,
2565077,Hà Nội,Hà Đông,,Nguyễn Viết Xuân,37.0,5800.0,,,,,, 10/10/2023,,,
2565084,Hà Nội,,,,90.0,4200.0,S,,1.0,,Sổ đỏ, 10/10/2023,,,
2564897,Hà Nội,,,,56.0,1950.0,,,,,, 10/10/2023,,,
2564884,Hà Nội,,,,84.0,3300.0,,,,,, 10/10/2023,,,
2564783,Hà Nội,Hai Bà Trưng,,Bạch Đằng,36.0,2050.0,,,,,, 10/10/2023,,,
2500754,Hà Nội,Cầu Giấy,,Trần Duy Hưng,92.0,38500.0,WN,,1.0,,Sổ hồng, 10/10/2023,,,
2556288,Hà Nội,,,,82.1,3900.0,,,1.0,,Sổ hồng, 05/10/2023,,,
2564583,Hà Nội,,,,53.0,2750.0,S,,1.0,,Sổ hồng, 10/10/2023,,,
2564525,Hà Nội,Ba Vì,Yên Bài,,2100.0,10750.0,,,,,, 10/10/2023,,,
2564520,Hà Nội,Thạch Thất,Yên Bình,,37000.0,24750.0,,,,,Sổ hồng, 10/10/2023,,,
2564514,Hà Nội,,,,80.0,2600.0,WS,,1.0,,Sổ đỏ, 10/10/2023,,,
2564493,Hà Nội,Ba Vì,Yên Bài,,1700.0,10750.0,,,,,Sổ hồng, 10/10/2023,,,
2564465,Hà Nội,,,,64.0,1900.0,,,1.0,,, 10/10/2023,,,
2564440,Hà Nội,,,,225.0,82000.0,,,,,Sổ đỏ, 10/10/2023,,,
1476247,Hà Nội,,,,71.0,4200.0,E,3.0,,2.0,, 10/10/2023,,5.0,5.0
2564774,Hà Nội,,,,69.0,2800.0,EN,,1.0,,Sổ hồng, 10/10/2023,,,
2563500,Hà Nội,Long Biên,,Ngọc Lâm,55.0,8200.0,EN,,1.0,,Sổ đỏ, 10/10/2023,,,
2564074,Hà Nội,Hai Bà Trưng,,Mai Hương,21.0,2800.0,WN,,,,Sổ đỏ, 09/10/2023,,,
2563718,Hà Nội,,,,95.0,3200.0,N,,,,Sổ hồng, 09/10/2023,,,
2563555,Hà Nội,Cầu Giấy,,Cầu Giấy,163.0,41000.0,,,1.0,,, 09/10/2023,,,
