price,address,Diện tích,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Lộ giới,Hướng
2 tỷ VNĐ,"phố Khâm Thiên, phường Thổ Quan", 30m2, 4, 5, 4, 3," Chính chủ cần bán nhà Phố Khâm Thiên, Đống Đa, nhà cực thoáng, vài bước ra hồ Văn Chương, diện tích 30m2, mặt tiền 4m, nhà 5 tầng. + Nhà Trung tâm quận Đống Đa,  thông phố Tôn Đức Thắng, tiện lợi ra phố Khâm Thiên, ra ngã 5 Ô Chợ Dừa, đi đâu cũng tiện. + Gần chợ, siêu thị tiện ích, bệnh viện, hồ sinh thái, khu vui chơi, giải trí, thuận lợi kinh doanh online, cách trường học các cấp chỉ vài phút đi bộ. + Sổ đỏ đẹp, sẵn sàng giao dịch + Giá thoả thuận + Liên hệ Anh Minh, chuyên nhà đất thổ cư, Đống Đa, Thanh Xuân, sẵn sàng tư vấn miễn phí 24/7. ĐT: 0913 220 691.",23/04/2022,Tin thường,batdongsan_so_com_vn_1673826935.814111,,
"4,1 tỷ VNĐ",Khương Trung, 40m2,, 5, 7,,"+ Cần bán nhà phố Khương Trung, diện tích 40m2, 5 tầng, mặt tiền 3.7m, 7 phòng ngủ, ngõ thông, dòng tiền ổn định, có thể làm văn phòng, kinh doanh.+ Nhà xây khung cột bê tông chắc chắn, thiết kế sang trọng, hiện đại, đầy đủ tiện nghi, tầng nào cũng có ban công thoáng sáng.+ Sổ đỏ chính chủ, sẵn sang giao dịch.+ Liên hệ: Phùng Trang 0975 124 520.",23/04/2022,Tin thường,batdongsan_so_com_vn_1673826937.0039284,,
4 tỷ VNĐ,"MINH KHAI, HAI BÀ TRƯNG", 43m2, 3, 5, 5,,"Mô tả: + Nhà xây 5 tầng, kiên cố, chắc chắn, gần Time city. + Các tiện ích rất thuận tiện, 100m gần chợ Vĩnh tuy, trường cấp 1,2 vĩnh tuy, trường quốc tế Vinschool, bệnh viện Vinmec + 2 phút lên bờ hồ, Phố cổ + Nhà ở trung tâm quận Hai Bà Trưng, Giao thông rất thuận tiện, 500m bệnh viện Thanh nhàn, 2 phút ra bệnh viện Bạch Mai, Gần các trường đại học Bách Khoa, KT Quốc Dân, Xây Dựng… + Giá chào 4 tỷ,  Có thương lượng. + Diện tích 43m2. + Sổ đỏ sắn giao dịch. +Miễn phí tư vấn, xem nhà 100%. + Liên hệ : Nguyễn Dương  0825920555 Để được tư vấn, xem nhà và hỗ trợ tốt nhất.",23/04/2022,Tin thường,batdongsan_so_com_vn_1673826937.93943, 2,
"15,3 tỷ VNĐ",Hà Nội, 75m2,,,,,"Bán nhà chính chủ đường Nguyễn Ngọc Nại, kinh doanh sầm uất - SĐT: 0366 555 258.PHÂN LÔ VIP - Ô TÔ TRÁNH - KINH DOANH SẦM UẤT - AN SINH TUYỆT VỜI.Diện tích 75m2, 6 tầng thang máy, mặt tiền 5 m.Mô tả: - Chủ nhà chuyên gia về tư vấn xây dựng, tự xây nhà để ở siêu đẹp. - Thiết kế hiện đại, nội thất toàn đồ nhập khẩu cao cấp. - Vị trí vô cùng đắc địa, xung quanh tiện ích VIP, kinh doanh sầm uất. - Hàng xóm dân trí cao, an ninh tốt, khu vực nhiều khách săn tìm. - Sổ vuông hoa hậu, cất két. Sẵn sàng giao dịch.Giá chào chỉ 15.3 tỷ thương lượng mạnh.Gọi điện xem nhà ngay - 0366 555 258.",23/04/2022,Tin thường,batdongsan_so_com_vn_1673826938.9856267,,
"14,5 tỷ VNĐ",ngõ 274 Lê Trọng Tấn, 107m2, 5, 3, 6, 5,"Chuyển đổi cần bán nhà phân lô  Lê Trọng Tấn, phường Khương Mai, Thanh Xuân, Hà Nội.-DTSĐ: 107m2- Mặt tiền 5,08m; Mặt hậu: 5,28mHiện trang đang có nhà 3 tầng kiên cố chắc chắn trên đất, cho thuê kinh doanh hoặc xây tòa nhà văn phòng, chung cư mini hoặc phòng khám.Vị trí cực đẹp đường trước nhà ô tô 7 chỗ vào nhà, Cách mặt phố Lê Trọng Tấn đúng 15m , gần nhiều trường đại học lớn và bệnh viện , gần chợ nên rất thuận tiện cho sinh hoạt…SĐCC. Giá 14.5 tỷ ( Có thương lượng) liên hệ chị Yến ĐT:0702138238 ",23/04/2022,Tin thường,batdongsan_so_com_vn_1673826940.1923985, 5, Đông bắc
"1,55 tỷ VNĐ","Quỳnh Mai, Hai Bà Trưng", 40m2, 40, 1, 2,,"Mô tả: + Nhà tập thể tầng 2, DT 40m2, ngay chợ 8-3. + Rất thuận tiện 2 bước chân là đến trường cấp 1,2 Quỳnh mai, 500m trường cấp 3 Thăng Long, và đoàn kết. + 2 phút lên bờ hồ, Phố cổ + Nhà ở trung tâm quận Hai Bà Trưng, Giao thông rất thuận tiện, 200m bệnh viện Thanh nhàn, 2 phút ra bệnh viện Bạch Mai, Gần các trường đại học Bách Khoa, KT Quốc Dân, Xây Dựng… + Giá chào 1.55 tỷ,  Có thương lượng. + Diện tích 40m2. + Sổ đỏ sắn giao dịch. +Miễn phí tư vấn, xem nhà 100%. + Liên hệ : Nguyễn Dương  0825920555 Để được tư vấn, xem nhà và hỗ trợ tốt nhất.",23/04/2022,Tin thường,batdongsan_so_com_vn_1673826941.3772662, 3,
"15,5 tỷ VNĐ",Hà Nội, 72m2,,,,,"Bán nhà đường Nguyễn Ngọc Nại quận Thanh Xuân, tiện kinh doanh - LH: 0856 96 8656.Nhà phân lô thoáng, ô tô vào nhà thoải mái, kinh doanh tốt. Diện tích 72 m2, mặt tiền 5m, 6 tầng thang máy.Làm nhà ở chô thuê văn phòng, dịch vụ cao cấp, trung tâm chăm sóc sức khoẻ, spa, nhà hàng... đều thích hợp.Sổ đo cất két sẵn sàng giao dịch.Khu dân trí cao, văn minh, hàng xóm toàn công chức bộ dôi. - Giao thông đi lại thuận tiện ra Trường Chinh, Vương Thừa Vũ, Hoang Văn Thái, Cù Chính Lan, Nguyễn Viết Xuân…Trường học, bệnh viện, chợ xung quanh nên vô cùng thuận tiện.Giá chào chỉ 15.5 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn.Liên hệ miên phí ngay 24/24 - 0856 968 656.",23/04/2022,Tin thường,batdongsan_so_com_vn_1673826942.351707,,
"1,55 tỷ VNĐ","Quỳnh Mai, Hai Bà Trưng", 40m2, 4, 1, 2,,"Mô tả: + Nhà tập thể tầng 2, DT 40m2, ngay chợ 8-3. + Rất thuận tiện 2 bước chân là đến trường cấp 1,2 Quỳnh mai, 500m trường cấp 3 Thăng Long, và đoàn kết. + 2 phút lên bờ hồ, Phố cổ + Nhà ở trung tâm quận Hai Bà Trưng, Giao thông rất thuận tiện, 200m bệnh viện Thanh nhàn, 2 phút ra bệnh viện Bạch Mai, Gần các trường đại học Bách Khoa, KT Quốc Dân, Xây Dựng… + Giá chào 1.55 tỷ,  Có thương lượng. + Diện tích 40m2. + Sổ đỏ sắn giao dịch. +Miễn phí tư vấn, xem nhà 100%. + Liên hệ : Nguyễn Dương  0825920555 Để được tư vấn, xem nhà và hỗ trợ tốt nhất.",23/04/2022,Tin thường,batdongsan_so_com_vn_1673826943.3610065, 3,
"15,8 tỷ VNĐ",Hà Nội, 77m2,,,,,"Bán nhà Nguyễn Viết Xuân kinh doanh cực tốt, quận Thanh Xuân - LH: 0856 968 656. - Vị trí trung tâm thủ đô Hà Nội, thuận lợi giao thông, kinh doanh đắc địa.Xung quanh là các phố lớn: Lê Trọng Tấn, Vương Thừa Vũ, Hoàng Văn Thái, Trường Chinh, Nguyễn Ngọc Nại, Cù Chính Lan... - Ngõ siêu rộng đẹp, khu phân lô quân đội, an ninh tuyệt đối, dân trí cao. - Nhà đẹp, thiết kế tối ưu, nội thất cao cấp, ở luôn. - Diện tích 77 m2, 6 tầng thang máy, mặt tiền 5 m. - Sổ đỏ chính chủ, vô cùng có lộc.Giá chào chỉ 15.8 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn.Liên hệ ngay Mr. Bình - 0856 968 656.",23/04/2022,Tin thường,batdongsan_so_com_vn_1673826944.3244302,,
"3,8 tỷ VNĐ","đường Hoàng Mai, quận Hoàng Mai, Hà Nội", 42m2, 4, 5, 4,,"NHÀ ĐẸP Ở NGAY- GẦN Ô TÔ – SỔ HOA HẬUS = 42m, giá 3.8 tỷ * Rẻ nhất trong phân khúc giá, không thể tìm thấy căn nhà nào tốt hơn. - Ngõ trước nhà rộng 3m, thoáng trước sau, cách đường ô tô chỉ 5m. - Nhà 5 tầng, 4 ngủ, phòng thờ, sân phơi riêng. - Giao thông: Minh Khai, Mai Động, Trương Định, Đền Lừ, Nguyễn Đức Cảnh,… * Bán gấp trong tuần, giá cả thương lượng. * Lh: 0345752279, miễn môi giới. ",23/04/2022,Tin thường,batdongsan_so_com_vn_1673826945.6927683,,
