price,address,Diện tích,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Lộ giới,Hướng
"4,8 tỷ VNĐ",Phố Hồng Mai Quận Hai Bà Trưng, 27m2, 5, 3, 2, 2,"Vị trí trung tâm, ngõ ô tô, kinh doanh. Nhà 3 tầng cũ, sửa sang ở tốt. Nhà đi vào được nhiều hướng Thiết kế hợp lý. Tầng 1 : phòng khách và bếp Tầng 2 : phòng ngủ + WC Tầng 3 : phòng ngủ + sân phơi Sổ đỏ đẹp, sẵn sàng giao dịch",03/03/2022,Tin thường,batdongsan_so_com_vn_1673831224.3635957,,
19 tỷ VNĐ,Hà Nội, 90m2,,,,,"Chính chủ cần bán nhà lô góc, ô tô, kinh doanh tốt phố Giảng Võ - SĐT: 0366 555 258.Diện tích 90 m2 lô góc, mặt tiền chính 8 m, được xây dựng và thiết kế 6 tầng cao cấp hiện đại.Toàn bộ cầu thang và cửa là gỗ Lim 2 lớp, nội thất cao cấp, thang máy nhập khẩu... Vị trí đắc địa khu dân trí cao, gần trường, gần chợ, bệnh viện…Xin liên hệ SĐT - 0366 555 258.",03/03/2022,Tin thường,batdongsan_so_com_vn_1673831225.6605535,,
4 tỷ VNĐ,Phố Nguyễn Khoái Quận Hai Bà Trưng, 46m2, 4, 4, 3, 3,"Vị trí đẹp. Ô tô tránh 5m Nhà 4 tầng xây chắc chắn , kiên cố, khách mua về sơn lại là ở được luôn. Thiết kế tầng 1 phòng , tổng 3 ngủ, 1 thờ, 1 bếp, 1 phòng khách, WC từng tầng. Khu vực dân trí cao, an ninh đảm bảo, hàng xóm thân thiện. Sổ đỏ chính chủ, sẵn sàng giao dịch.",03/03/2022,Tin thường,batdongsan_so_com_vn_1673831226.923177, 5,
"5,3 tỷ VNĐ",Vân Hồ 3 Quận Hai Bà Trung, 23m2, 3, 5, 4,,"Vân Hồ 3 là con phố đẹp nằm trên trục chính Đại Cồ Việt thông thẳng ra đường Nguyễn Đình Chiểu kéo dài, tiếp giáp phố Hoa Lư, Bà Triệu, Phố Huế … Vài bước ra công viên thống nhất, hồ Ba Mẫu. Không gian sống an lành mát mẻ. Khu vực hiện đang kinh doanh tấp nập, buôn bán đa dạng nhiều mặt hàng. Ô tô chạy thông vào nhà. Nhà cũ 5 tầng, nở hậu nhẹ. Mỗi tầng 1 phòng. Chủ mới thêm vài thùng sơn là long lanh. Nhà hiện để không. Chủ bán dồn tiền đổi nhà mới to hơn.",03/03/2022,Tin thường,batdongsan_so_com_vn_1673831228.5588021,,
"15,5 tỷ VNĐ","Mai Anh Tuấn, Đống Đa, Hà Nội", 40m2,, 5, 6,,"Bán nhà phố Mai Anh Tuấn, Đống Đa, đẹp, ở sướng, kinh doanh sầm uất, 40m, 5 tầng, 15.5 tỷ. Vị trí: Đẹp nhất phố Mai Anh Tuấn, vỉa hè cực rộng, kinh doanh, vỉa hè rộng, oto đỗ cửa. Tiện ích: Hồ Hoàng Cầu thơ mộng, nhiều quán cà phê đẹp lãng mạn, ga metro Hoàng Cầu, khu dân cư đông đúc, dân trí cao, chỉ mất 5 di chuyển vào phố cổ, gần các cơ quan hành chính quận Đống Đa. Thiết kế: Hiện đại, đẹp, bố trí hài hòa thoáng sáng về ở ngay. 5 tầng, cầu thang cuối, nhà hiện vừa ở vừa cho thuê tầng 1 kinh doanh. Giao thông: Kết nối Hoàng Cầu với Thái Hà, Thái Thịnh, Láng, Xã Đàn, Hào Nam…vv. Pháp lý: Sổ đỏ chính chủ đẹp sẵn sàng thương lượng. Liên hệ: Minh Hoàng 0902253303 (miễn trung gian môi giới).",03/03/2022,Tin thường,batdongsan_so_com_vn_1673831229.8553786,,
"3,55 tỷ VNĐ","Kim Mã, Ba Đình, Hà Nội", 30m2,, 5, 3, 3,"Nhà thuộc phân khúc hiếm có bán khu vực Kim Mã, Ba Đình. Có thể đi vào nhà từ nhiều ngõ khác nhau 192, 82, 290 Kim Mã.Trước nhà ngõ rộng, mặt tiền nhà thoáng, thiết kế cực kỳ hợp lý:+ Tầng 1: phòng khách + bếp.+ Tầng 2,3,4: Mỗi tầng 1 ngủ + 1 phụ.+ Tầng 5: tum và sân phơi.Chủ để lại các thiết bị nội thất đang có trong nhà cho khách mua thiện chí.Liên hệ Mr. Tuấn Anh 0778.477.775 để được tư vấn và dẫn đi xem nhà miễn phí, miễn môi giới trung gian",03/03/2022,Tin thường,batdongsan_so_com_vn_1673831231.047239,,
"17,5 tỷ VNĐ",Hà Nội., 44m2, 5, 6, 6,,"MẶT PHỐ KINH DOANH ĐỈNH - VỈA HÈ - Ô TÔ DỪNG ĐỖ NGÀY ĐÊM - NHÀ ĐẸP CHẮC CHẮN - 2 MẶT THOÁNG TRƯỚC SAU. -Diện tích: 44m2 x 6 tầng, mặt tiền 5.2 m.  Mô tả: + Nhà vị trí đẹp nhất phố, trước nhà có vỉa hè ô tô dừng đỗ ngày đêm thoải mái. Phố mới 2 đầu thông Hoàng Cầu và Nguyễn Lương Bằng. + Khu vực lõi quận Đống Đa, tập trung mọi tiện ích trường học, bệnh viện, TTTM, cơ quan, phố rất nhiều toà nhà văn phòng. Nhà phù hợp nhiều loại hình kinh doanh, mua để ở, kinh doanh hoặc cho thuê đều tuyệt vời.  Thiết kế + Nhà 6 tầng chắc chắn, chủ tự tay xây dựng rất tâm huyết. Thiết kế cơ bản cầu thang giữa mỗi tầng 2 phòng.  + Sổ đỏ chính chủ, giao dịch ngay.  Giá: 17.5 tỷ (có thương lượng). Liên hệ: Vân Anh nhà đẹp mặt phố: 0949 – 518 – 288 - Chuyên BĐS đất thổ cư. (Miễn Môi giới)",03/03/2022,Tin thường,batdongsan_so_com_vn_1673831232.2550085,,
,68, 168m2,,,,,"
    Bán biệt thự nhỏ mặt phố Mai Anh Tiếp, Tặng chủ nhà cây xoài quanh năm ra quả.
Giá: 12 tỷ
",03/03/2022,Tin thường,batdongsan_so_com_vn_1673831233.4458222,,
,11, 123m2,,,,,Tọa lạc tại Phố: Lý thường kiệt. Hoàn kiếm. Giá: Thỏa thuận.,03/03/2022,Tin thường,batdongsan_so_com_vn_1673831234.504989,,
"1,75 tỷ VNĐ","Bùi Xương Trạch, Khương Đình, Thanh Xuân", 35m2,,,,,"Vị trí mảnh đất ở quận Thanh Xuân. Diện tích 35m2, mặt tiền gần 4m. Ô tô con đỗ ngay cửa. Hai mặt thoáng vĩnh viễn, lại ngay cạnh hồ điều hòa. Khu vực yên tĩnh, sạch sẽ, an ninh đảm bảo, được phép xây nhà kiên cố và giá đất đang tăng từng ngày. Thông nhiều tuyến đường; đi cầu Dậu hay tới ngã tư Sở, lên đường vành đai 3, ra hồ Linh Đàm cực kỳ thuận tiện. Gần trường học các cấp; trung tâm của các chợ và các cơ sở y tế. Chủ thiện chí bán. Giá: 1,75 tỷ VNĐ. Liên hệ: Mr. Ngọc – 0344.978.570 để được miễn phí xem nhà (miễn môi giới, trung gian).",03/03/2022,Tin thường,batdongsan_so_com_vn_1673831235.6509244,,
