price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Số toilet
78 tỷ VNĐ,quancaugiay, 184m2,"
    Bán nhanh toà căn hộ cao cấp 3 sao mặt vườn hoa trung tâm Nam Trung Yên....Dt184m2, Mặt tiền 13m, xây 7 tầng nổi 1 tầng hầm, 22 căn hộ cao cấp đầy đủ tiện nghi nội thấy, Hệ thống điều hoà Daikin, Ốp đã Granit Nhập khẩu, Hệ thống phòng cháy và máy phát điện tự động đạt tiêu chuẩn, Toà nhà hoàn thành 10-01-2020, Đã có hợp đồng cho thuê dài hạn 190 Triệu/ tháng, Sổ đỏ chính chủ. Giá bán: 78 tỷ( bao phí sang tên). LH: Mr Quang Trưởng ; 0912.129.926....0912.729.926
 
",09/12/2020,Tin thường,batdongsan_so_com_vn_1673795266.3186235,,,,,
40 tỷ VNĐ,quanthanhxuan, 95m2,"
    Tôi cần bán tòa văn phòng 9 tầng mặt phố Hoàng Văn Thái - Thanh Xuân ( phối cảnh 3D kèm theo)...Dt95m2, Mặt tiền 7,4m, Nhà xây mới 8 tầng nổi 1 tum và 1 tầng hầm, Thiết kế hiện đại, Mỗi tầng là 1 sàn Văn Phòng rộng với hệ thống điều hòa âm trần DAIKIN, Tầng 8 là 1 phòng ăn kết hợp phòng khách sang trọng, toàn bộ đá ốp mặt tiền và thang máy là đá Marble nhập từ Brazil, Cửa gỗ Lim và Nhôm Xingfa, Thang máy nhập khẩu chính hãng Mitsubishi 850kg, Thiết bị vệ sinh American Standard, Hệ thống phòng cháy hiện đại, Sổ đỏ chính chủ. GIÁ = 40 tỷ (bao phí sang tên). LH: Quang Trưởng ; 0912.129.926.....0912,729,926
 
",09/12/2020,Tin thường,batdongsan_so_com_vn_1673795267.701959,,,,,
28 tỷ VNĐ,quanthanhxuan, 89m2,"
    Bán tòa văn phòng 9 tầng mặt phố Tô Vĩnh Diện - Hoàng Văn Thái ( phối cảnh 3D kèm theo)...Dt89(từ tầng 2 trở lên dt100m2), Mặt tiền 5m, Tòa nhà lô góc hai mặt đường, Nhà xây mới 8 tầng nổi 1 tum và 1 tầng hầm, Nhà hai mặt đường, Vỉa hè rộng, Thiết kế hiện đại, Mỗi tầng là 1 sàn Văn Phòng rộng với hệ thống điều hòa âm trần DAIKIN, Tầng 8 là 1 phòng ăn kết hợp phòng khách sang trọng, toàn bộ đá ốp mặt tiền và thang máy là đá Marble nhập từ Brazil, Cửa gỗ Lim và Nhôm Xingfa, Thang máy nhập khẩu chính hãng Mitsubishi 650kg, Thiết bị vệ sinh American Standard, Hệ thống phòng cháy hiện đại, Sổ đỏ chính chủ. GIÁ = 28 tỷ (bao phí sang tên). LH: Quang Trưởng ; 0912.129.926....0912.729.926
 
",09/12/2020,Tin thường,batdongsan_so_com_vn_1673795268.7471275,,,,,
205 tỷ VNĐ,quancaugiay, 400m2,"Tôi cần bán tòa văn phòng 9 tầng mặt phố Hoàng Quốc Việt ,GIÁ 205 TỶ,.Dt400m2, Mặt tiền12m,Tòa nhà hai mặt đường nhựa to,Nhà xây mới 8 tầng nổi 1 tum và 1 tầng hầm,Thiết kế hiện đại, Mỗi tầng là 1 sàn Văn Phòng rộng với hệ thống điều hòa âm trần DAIKIN, Tầng 8 là 1 phòng ăn kết hợp phòng khách sang trọng,Lh: SDT CHÍNH CHỦ ko qua môi giới . Quang Trưởng ; 0912.129.926....0912.729.926",09/12/2020,Tin thường,batdongsan_so_com_vn_1673795269.7344847,,,,,
138 tỷ VNĐ,quancaugiay, 250m2,"Cần Bán nhanh tòa nhà văn phòng 8 tầng xây mới Lô Góc Mạc Thái Tông - Nam Trung YênDiện tích Sổ Đỏ 250 m2 Xây đua từ tầng 2 = 280m2Tòa nhà thiết kế hiện đại thông sàn -7 tầng nổi 1 tầng hầm mặt tiền 23m.- Nhà Xây dựng công nghệ mới sàn siêu nhẹ , không dầm , hạn chế cột .- Gần đường Phạm Hùng - Nguyễn Chánh - Trần Duy Hưng- Trung Kính- toàn bộ trang thiết bị hiện đại nhập khẩu nguyên chiếc...- hệ thống PCCC do công an thành phố thi công và cấp phép- sổ đỏ chính chủ. GIÁ BÁN 138 tỷ- liên hệ chính chủ ; 0912.129.926....0912.729.926",22/12/2020,Tin thường,batdongsan_so_com_vn_1673795270.915697,,,,,
"8,35 tỷ VNĐ",Ngô Thì Nhậm- Hà Đông, 51m2,"Bán nhà mặt phố Ngô Thì Nhậm, Hà Đông 51m, MT 5.8m ô tô vỉa hè hơn 8 tỷ Hàng hiếm mặt phố Vip sầm uất bậc nhất Ngô Thì Nhậm, Hà Đông kinh doanh đỉnh cao diện tích khủng 51m, mặt tiền rông gần 6m các tầng thoáng sáng rất đẹp, vỉa hè mênh mông ô tô tránh. Nhà bán kinh doanh đủ loại hình: Café, spa, phòng khám, văn phòng phẩm, hoa quả sạch,..kết hợp ở tuyệt vời. Giao thông trục chính đi muôn nơi giáp Quang Trung sang Hoàng Đôn Hoà ra Ngô Quyền lên Vạn Phúc đối diện Lý Thường Kiệt song song Trần Đăng Ninh lên Hà Cầu. Sổ vuông sẵn sàng gia dịch. Giá 8.35 tỷ ( gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910) – Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",12/10/2022,Tin thường,batdongsan_so_com_vn_1673795271.9475646, 5,,,,
"2,48 tỷ VNĐ",ĐÔNG ANH HÀ NỘI, 98m2,"BÁN CĂN HỘ 98m2, TẦNG 25, 3 PHÒNG NGỦ CHUNG CƯ EURO WINDOW  Cần bán căn hộ 98m2, 3 phòng ngủ, 2 vệ sinh hướng ban công Đông Nam. Cách trung tâm Hà nội 15 phút đi xe. Đầy đủ các tiện ích của một chung cư cao cấp như : TTTM, GYM, bể bơi, khu vui chơi trẻ em, công viên cây xanh, nhà sinh hoạt cộng đồng …. Căn hộ gần sông nên không khí trong lành, thoáng mát và yên tĩnh, một nơi về hoàn hảo sau một ngày làm việc mệt mỏi và khói bụi nơi đô thành. Giá bán căn hộ thấp nhất trong cùng phân khúc khi quãng đường di chuyển tới trung tâm thủ đô. Trước khi ĐÔNG ANH lên quận, đây sẽ là chung cư cuối cùng có giá tốt nhất thị trường. Một cơ hội chú ẩn an toàn của tiền ngoài ngân hàng, luôn đảm bảo và có lời cao nhất. Mọi quan tâm xin liên hệ : Mr Hoàng : 979.521",12/10/2022,Tin thường,batdongsan_so_com_vn_1673795273.3208907,,,,,
"16,3 tỷ VNĐ",Đường Hào Nam phường Ô Chợ Dừa, 112m2,"
    * Nhà khung cột bê tông chắc chắn, thiết kế hiện đại, nội thất nhập khẩu như mới, ô tô vào tận nhà- DT 112m x 5 tầng, mặt tiền 6.5m, giá 16.3 tỷ (có thương lượng).- Chủ nhà lớn tuổi cần bán nhanh trong tháng- Liên hệ để xem nhà miễn phí mr Tuấn 0902157089 - 0981588619
",12/10/2022,Tin thường,batdongsan_so_com_vn_1673795274.7011988, 7, 4, 5, 5, 5
78 tỷ VNĐ,Đường Hàng Khoai phường Đồng Xuân, 170m2,"
    * Chủ nhà lớn tuổi cần bán bớt bất động sản để chia cho các con.- Nhà mặt phố Hàng Khoai, vỉa hè rộng, buốn bán mọi loại hình.- Diện tích 170m x 5 tầng, MT 5m, giá 78 tỷ (có thương lượng)- Sổ đỏ nở hậu, không lỗi phong thuỷ.- Chủ nhà dễ tính, thân thiện.- Khách- chủ gặp nhau trực tiếp mua bán. LH mr Tuấn 0981588619 - 0902157089.",12/10/2022,Tin thường,batdongsan_so_com_vn_1673795276.1503232, 6, 15, 5, 7, 7
"3,6 tỷ VNĐ","hoàng mai, hà nội", 30m2,"Siêu phẩm Trương Định 30mx5T, mt 5,1m, 3,6 tỷ, ngõ thông, nhà đẹp 2 thoáng.+ Nhà mới ở được vài năm còn khá mới. Sau nhà có khe thoáng, thiết kế hiện đại, nhà cách bãi gửi xe ô tô vài bước chân.Tầng 1: Khách + bếp.Tầng 234: Mỗi tầng 1 ngủ + vệ sinh.Tầng 5: Phòng thờ + sân phơi.+ Sổ đỏ vuông đẹp, sẵn sàng giao dịch.+ Trương định gần bễn xe Giáp Bát, Tân Mai, Giải Phóng, Kim Đồng, gần đại học xây dựng, đại học bách khoa, đại học kinh tế quốc dân.lh 0989035951 hoặc 0346363362",12/10/2022,Tin thường,batdongsan_so_com_vn_1673795277.535615,,,,,
