address,gen_descrip,Diện tích,Mức giá,Số phòng ngủ,Số toilet,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Số tầng,Nội thất,Hướng ban công,Mặt tiền
"['Hà Nội', 'Hai Bà Trưng', 'Dự án Sun Grand City Ancora Residence']","
Gia đình chuyển xuống nhà đất nên bán căn hộ góc 3PN 2VS 125m².* Vị trí Tầng Trung, Toà T3 thuộc chung cư cao cấp Sun Ancora, 3 Lương Yên, Q. HBT, HN.* Liên hệ ngay: 0975 997 *** - Giá thiện chí bán nhanh: 9. X tỷ.- Ban công view Hồ Võ Thị Sáu và ngắm phố, Tết ngắm pháo hoa lý tưởng.- Thiết kế: Gồm 3 phòng ngủ thoáng Sáng + 2 wc + Ban Công Logia thoáng sáng, phòng khách rộng.- Căn hộ đã nâng cấp điều hòa và thay lại toàn bộ nội thất cao cấp.- Diện tích 125m².* Vị trí thuận lợi thuộc trung tâm thành phố, cách phố cổ chỉ 500 m, cách bệnh viện 108 chỉ 200m.* Sổ đỏ chính chủ sang tên nhanh gọn.* Vui lòng liên hệ: 0975 997 *** Ms. Phương (Call, zalo, SMS).            ",125 m²,Thỏa thuận,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,35845822,batdongsan_com_vn_35845822,,,,
"['Hà Nội', 'Ba Đình', 'Phường Liễu Giai', 'Đường Đào Tấn', '92']","
Bán nhà ngõ 92 Đào Tấn 36m2x 5 tầng, chỉ 4 tỷ.Nhà đẹp mới xây khung bê tông được vài năm.Thiết kế: Mỗi tầng 1 phòng, cầu thang cuối nhà.Nhà còn mới, khách mua chỉ việc đến ở.Tổng có 3 ngủ, 4 vệ sinh.Nhà rất gần mặt phố.Giá bán: 4 tỷ.            ",36 m²,4 tỷ,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,28/11/2022,05/12/2022,Tin thường,35958375,batdongsan_com_vn_35958375,5 tầng,Cơ bản,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Bạch Đằng', 'Đường Lương Yên', 'Dự án Sun Grand City Ancora Residence']","
Gia đình tôi cần bán căn hộ 3PN 2VS tầng trung, giá rẻ nhất thị trường chỉ 7,5 tỷ bao toàn bộ phí sang tên chuyển nhượng, tại chung cư cao cấp Sun Ancora, 3 Lương Yên, HBT, HN.* Hiện tại không còn căn 3PN nào bán giá này.* Liên hệ ngay: 0975 997 *** - Giá cực rẻ chỉ 7,5 tỷ (BAO PHÍ) cam kết giá thật.+ Diện tích: 110m².+ Thiết kế 3 phòng ngủ sáng + 2 vệ sinh + 1 kho.+ Chung cư cao cấp dịch vụ tiện ích đẳng cấp 5 sao.* Vị trí Kim cương trung tâm thành phố cách Phố Cổ chỉ 500m vài bước tới hồ Gươm.* Sổ đỏ chính chủ sang tên nhanh gọn.* Vui lòng liên hệ: 0975 997 *** Ms. Phương (Call, zalo, SMS).            ",110 m²,7.5 tỷ,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,35845889,batdongsan_com_vn_35845889,,,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Bạch Đằng', 'Đường Lương Yên', 'Dự án Sun Grand City Ancora Residence']","
Gia đình tôi cần bán nhanh căn hộ 2PN 2VS tầng trung, giá tốt nhất thị trường, tại chung cư cao cấp Sun Ancora, 3 Lương Yên, Q. HBT, HN.* Liên hệ ngay: 0975 997 ***+ Diện tích: 98m².+ Ban Công ngắm sông Hồng và ngắm thành phố.+ Tặng lại cho khách toàn bộ nội thất sang và xịn.+ Thiết kế 2 phòng ngủ sáng + 2 vệ sinh + phòng khách + Bếp thoáng sáng, logia + ban công rộng rãi.+ Chung cư cao cấp dịch vụ tiện ích đẳng cấp 5 sao.+ Nhà ở giữ gìn, sang trọng và hiện đại.* Vị trí Kim cương trung tâm thành phố cách Phố Cổ chỉ 500m vài bước tới hồ Gươm.* Sổ đỏ chính chủ sang tên nhanh gọn.* Vui lòng liên hệ: 0975 997 *** Ms. Phương (Call, zalo, SMS).            ",98 m²,Thỏa thuận,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,35845981,batdongsan_com_vn_35845981,,Tặng nội thất sang xịn mịn.,,
"['Hà Nội', 'Ba Đình', 'Phường Liễu Giai', 'Đường Đào Tấn']","
Diện tích 40m² 5 tầng 4m mặt tiền 3 ngủ giá 4 tỷ.Mô tả: Vị trí đắc địa gần phố oto Thông nhà mới ở luôn.+ Thiết kế 5 tầng công năng tối ưu, tổng 3 ngủ rộng.+ Tầng 1: Phòng khách, bếp, wc.+ Tầng 2,3,4: Mỗi tầng 1 phòng ngủ rộng, wc.+ Tầng 5: Phòng thờ, phòng ngủ, sân phơi, wc.+ Sổ đỏ chính chủ, nở hậu, sẵn sàng giao dịch.            ",40 m²,4 tỷ,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,28/11/2022,05/12/2022,Tin thường,35958725,batdongsan_com_vn_35958725,5 tầng,Cơ bản,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Bạch Đằng', 'Đường Lương Yên', 'Dự án Sun Grand City Ancora Residence']","
Gia đình tôi cần bán nhanh căn hộ 2PN 2VS tầng trung, giá tốt nhất thị trường, chỉ nhỉnh 6 tỷ, tại chung cư cao cấp Sun Ancora, 3 Lương Yên, Q. HBT, HN.* Liên hệ ngay: 0975 997 ***+ Diện tích: 85m².+ Ban Công Đông Nam thoáng mát, ngắm sông Hồng và cầu Vĩnh Tuy.+ Thiết kế 2 phòng ngủ sáng + 2 vệ sinh + phòng khách + Bếp thoáng sáng, logia + ban công rộng rãi.+ Chung cư cao cấp dịch vụ tiện ích đẳng cấp 5 sao.* Vị trí Kim cương trung tâm thành phố cách Phố Cổ chỉ 500m vài bước tới hồ Gươm.* Sổ đỏ chính chủ sang tên nhanh gọn.* Vui lòng liên hệ: 0975 997 *** Ms. Phương (Call, zalo, SMS).            ",85 m²,Thỏa thuận,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,35845943,batdongsan_com_vn_35845943,,Nội thất xịn.,Đông - Nam,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Bạch Đằng', 'Đường Lương Yên', 'Dự án Sun Grand City Ancora Residence']","
Sổ đỏ chính chủ! Gia đình chuyển xuống biệt thự nên cần bán nhanh căn hộ góc, vị trí hoa hậu, view sông Hồng và ngắm toàn bộ thành phố tại Sun Ancora, 3 Lương Yên, Q. HBT, HN.* Liên hệ ngay: 0975 997 *** - Giá thiện chí bán nhanh.* Diện tích 162m².* Thiết kế 3 ngủ, 2 wc, 1kho, bếp rộng, phòng thờ, phòng khách lớn.* Căn hộ vị trí tầng rất đẹp, view sông Hồng và view thành phố. Các phòng thoáng sáng đón ánh sáng tự nhiên và không khí tươi.* Nội thất đẳng cấp, sang trọng, hiện đại, nhà nhận thô thiết kế 4 ngủ thành 3 ngủ.* Vị trí thuận lợi thuộc trung tâm thành phố, cách phố cổ chỉ 500 m, cách bệnh viện 108 chỉ 200m.* Vui lòng liên hệ: 0975 997 *** Ms. Phương (Call, zalo, SMS).            ",162 m²,Thỏa thuận,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,29/11/2022,06/12/2022,Tin thường,35845420,batdongsan_com_vn_35845420,,,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Minh Khai', 'Đường Minh Khai', '201', 'Hinode City']","
* Sổ đỏ chính chủ, sẵn sàng giao dịch chuyển nhượng*.* Gia đình cần bán nhanh căn hộ 2PN 82m² tại chung cư cao cấp Hinode City, 201 Minh Khai, Q. HBT, Tp. HN.* Giá bán thiện chí chỉ: 4.x tỷ.* Liên hệ: 0975 997 ***+ Thiết kế 2PN + 2WC, phòng khách, bếp, logia, ban công rộng rãi, thoáng sáng. Tổng diện tích 82m².+ Nhà y ảnh, giữ gìn cẩn thận.+ Vị trí tầng đẹp, view thoáng đẹp, nội thất ngoại nhập xịn sò, nhà ở giữ gìn.* Liên hệ để xem nhà trực tiếp: Ms. Phương 0975 997 ***Zalo, sms, fb).            ",82 m²,Thỏa thuận,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,35706592,batdongsan_com_vn_35706592,,"Nội thất sang trọng, hiện đại.",,
"['Hà Nội', 'Ba Đình', 'Phường Ngọc Khánh', 'Phố Ngọc Khánh', 'Ngõ 112']","
- Bán nhà cách 30m ra mặt ngõ 112 Ngọc Khánh, ngõ thông 612 La Thành oto vào.- Diện tích 38m² x 6 tầng.+ Tầng 1: Phòng thờ, bếp, phòng ăn rộng thoáng, có sân để 4 xe máy.+ Tầng 2, 3, 4, 5: Mỗi tầng 1 phòng ngủ rộng, WC khép kín, phòng nào cũng có cửa sổ tràn ngập sinh khí.+ Tầng 6: Sân phơi thoáng sáng, trồng cây cảnh, ngắm toàn cảnh thành phố Hà Nội.- Sổ đỏ đẹp sẵn sàng giao dịch ngay.- Liên hệ: 0888 446 *** - xem và mua nhà hoàn toàn miễn phí.            ",38 m²,4.5 tỷ,,,Sổ đỏ,29/11/2022,06/12/2022,Tin thường,35986323,batdongsan_com_vn_35986323,,,,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Xuân Đỉnh', 'Dự án N02-T1 Ngoại Giao Đoàn']","
* Vị trí căn hộ, được tọa lạc trong khuôn viên khu Đoàn Ngoại Giao liền kề với khu đô thị Tây Hồ Tây (Starlake Hà Nội).- Đây là một khu đô thị mới được xây dựng trên một nền đất sạch, các tiện ích được xây dựng đồng bộ, có cảnh quan, có tầm nhìn đảm bảo cho cư dân có được một cuộc sống thoải mái, tiện nghi và đáng sống.- Chủ đầu tư: Công ty Cổ Phần Đầu Tư Bất Động Sản An Bình.- Quy mô: 2 tầng hầm và 22 tầng nổi.- Với 8 căn hộ trên sàn.+ Căn hộ cần bán đã có sổ hồng lâu dài, diện tích tim tường là 115m², thông thủy 109m² gồm 3PN - 2WC, lợi thế căn góc, cửa chính hướng Đông, ban công hướng Tây view trọn đại sứ quán Hàn Quốc.+ Sổ đỏ chính chủ, chủ thiện chí giao dịch nhanh.            ",115 m²,4.7 tỷ,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,29/11/2022,09/12/2022,Tin thường,35725771,batdongsan_com_vn_35725771,,Full,,
