id,city,district,ward,street,area,price,house_direction,bedroom,toilet,floors,legits,upload_date,furniture,facade,entrance
batdongsan_so_com_vn_1673787773.2450073,Hà Nội,cầu giấy,dịch vọng hậu,đường trần quốc vượng,45.0,5100.0,,5.0,3.0,4.0,Đã có sổ,15/11/2022,None,4.0,2.0
batdongsan_so_com_vn_1673787776.9490986,Hà Nội,,,,85.0,2350.0,,,,,None,15/11/2022,None,,
batdongsan_so_com_vn_1673787779.6528642,Hà Nội,cầu giấy,trung hòa,đường nguyễn khang,250.0,200.0,,,,,Đã có sổ,15/11/2022,None,10.0,
batdongsan_so_com_vn_1673787780.9154882,Hà Nội,hai bà trưng,đồng tâm,đường đại la,80.0,10200.0,,5.0,5.0,5.0,Sổ đỏ,15/11/2022,None,8.0,5.0
batdongsan_so_com_vn_1673787782.2050369,Hà Nội,đống đa,láng thượng,đường láng thượng,45.0,5500.0,,6.0,,5.0,Sổ đỏ,15/11/2022,None,4.0,3.0
batdongsan_so_com_vn_1673787784.0411255,Hà Nội,long biên,thượng thanh,đường thượng thanh,40.0,2600.0,,1.0,1.0,1.0,Sổ đỏ,15/11/2022,None,4.0,2.0
batdongsan_so_com_vn_1673787785.552082,Hà Nội,đống đa,láng thượng,đường chùa láng,33.0,3350.0,,,,2.0,Sổ đỏ,15/11/2022,None,4.0,3.0
batdongsan_so_com_vn_1673787787.0051947,Hà Nội,đống đa,ô chợ dừa,đường hoàng cầu,220.0,70000.0,,,,4.0,Sổ đỏ,15/11/2022,None,10.0,30.0
batdongsan_so_com_vn_1673787788.4104364,Hà Nội,hoàng mai,hoàng văn thụ,đường hoàng mai,113.0,4100.0,,3.0,2.0,1.0,None,15/11/2022,None,3.0,5.0
batdongsan_so_com_vn_1673787789.980238,Hà Nội,,Mễ trì,,55.0,16500.0,,,,,Sổ đỏ,15/11/2022,None,,
batdongsan_so_com_vn_1673787791.4393327,Hà Nội,cầu giấy,dịch vọng hậu,đường trần thái tông,60.0,7150.0,,4.0,4.0,5.0,Đã có sổ,15/11/2022,Available,6.0,4.0
batdongsan_so_com_vn_1673787794.8033354,Hà Nội,hoàn kiếm,bách khoa,đường lê thanh nghị,55.0,9800.0,,18.0,19.0,8.0,Sổ đỏ,15/11/2022,None,5.0,3.0
batdongsan_so_com_vn_1673787795.958246,Hà Nội,hoàng mai,hoàng văn thụ,đường hoàng mai,113.0,4100.0,,3.0,2.0,1.0,None,15/11/2022,None,3.0,5.0
batdongsan_so_com_vn_1673787797.5988562,Hà Nội,cầu giấy,trung hòa,đường nguyễn khang,250.0,200.0,,,,,Đã có sổ,15/11/2022,None,10.0,
batdongsan_so_com_vn_1673787799.1666605,Hà Nội,cầu giấy,trung hòa,đường nguyễn khang,250.0,200.0,,,,,Đã có sổ,15/11/2022,None,10.0,
batdongsan_so_com_vn_1673787800.9628572,Hà Nội,hoài đức,kim chung,đường quốc lộ 32,45.0,3000.0,,4.0,3.0,5.0,None,15/11/2022,Available,5.0,4.0
batdongsan_so_com_vn_1673787803.4472113,Hà Nội,cầu giấy,xuân thủy,đường xuân thủy,65.0,16800.0,,1.0,1.0,1.0,None,15/11/2022,None,5.0,40.0
batdongsan_so_com_vn_1673787804.9551754,Hà Nội,nam từ liêm,tây mỗ,đường đại lộ thăng long,200.0,2800.0,,2.0,2.0,,Sổ đỏ,15/11/2022,Available,8.0,1.0
batdongsan_so_com_vn_1673787806.994719,Hà Nội,hoàng mai,đại kim,đường linh đàm,68.0,2300.0,ES,2.0,2.0,29.0,Sổ đỏ,15/11/2022,None,8.0,10.0
batdongsan_so_com_vn_1673825821.9488268,Hà Nội,thanh xuân,phường khương đình,đường khương đình,65.0,5000.0,,4.0,,4.0,Sổ đỏ,07/05/2022,Available,,
batdongsan_so_com_vn_1673825823.1785364,Hà Nội,quận tây hồ,phường phú thượng,đường võ chí công,168.0,5500.0,EN,3.0,2.0,,None,07/05/2022,None,,
batdongsan_so_com_vn_1673825824.5199475,Hà Nội,,,,78.0,16100.000000000002,,,,,Sổ đỏ,07/05/2022,None,,
batdongsan_so_com_vn_1673825825.8244572,Hà Nội,,Quan hoa,Nguyễn văn huyên,35.0,6600.0,,4.0,1.0,6.0,Sổ đỏ,07/05/2022,None,4.0,4.0
batdongsan_so_com_vn_1673825827.0229945,Hà Nội,,,,77.0,15900.0,,,,,Sổ đỏ,07/05/2022,Available,,
batdongsan_so_com_vn_1673825828.0711908,Hà Nội,hoài đức,vân canh ,,42.0,2400.0,,,,,Sổ đỏ,07/05/2022,None,,
batdongsan_so_com_vn_1673825829.2739727,Hà Nội,,,,74.0,16000.0,,,,,Sổ đỏ,07/05/2022,Available,,
